Instrument,Current Weight,Target Weight,Change (Buy/Sell)
Superior Group,0.0,0.0002854590460924937,0.0002854590460924937
Global Enterprises,0.0,0.0016699857131239884,0.0016699857131239884
Dynamic Corp,0.0,0.00045165519605584243,0.00045165519605584243
Strategic Solutions,0.0,9.099850650477355e-05,9.099850650477355e-05
Superior Manufacturing,0.0,0.0008093891506299602,0.0008093891506299602
Prime Systems,0.0,0.000596861126863736,0.000596861126863736
Prime Manufacturing,0.0,0.0017576825199260347,0.0017576825199260347
Elite Partners,0.0,0.00023037413813533822,0.00023037413813533822
Premier Supply Co,0.0,0.0022096350770405885,0.0022096350770405885
Dynamic Technologies,0.0,0.00037330024102745523,0.00037330024102745523
Superior Systems,0.0,0.0005463917594488932,0.0005463917594488932
Alpha Supply Co,0.0,0.02155135606575617,0.02155135606575617
Premier Industries,0.0,0.0007088956933144694,0.0007088956933144694
Prime Corp,0.0,0.0010212195484315594,0.0010212195484315594
Superior Systems,0.0,0.0010558511535987626,0.0010558511535987626
Strategic Supply Co,0.0,0.00011021907163960627,0.00011021907163960627
Dynamic Manufacturing,0.0,3.2245178403338815e-06,3.2245178403338815e-06
Global Supply Co,0.0,0.004447922817051714,0.004447922817051714
Innovative Corp,0.0,0.0001511171125551393,0.0001511171125551393
Global Partners,0.0,0.001103596684718196,0.001103596684718196
Dynamic Partners,0.0,0.00016145301459770855,0.00016145301459770855
Elite Technologies,0.0,2.925634012451298e-14,2.925634012451298e-14
Advanced Supply Co,0.0,1.906531871789921e-07,1.906531871789921e-07
Innovative Group,0.0,0.0005613568999788149,0.0005613568999788149
Prime Manufacturing,0.0,1.4143846181362437e-05,1.4143846181362437e-05
Prime Corp,0.0,0.0008171858561218378,0.0008171858561218378
Alpha Systems,0.0,0.0002911148075524465,0.0002911148075524465
Dynamic Enterprises,0.0,1.031689887552747e-05,1.031689887552747e-05
Dynamic Industries,0.0,0.000201835867402724,0.000201835867402724
Advanced Supply Co,0.0,0.0005229894823144051,0.0005229894823144051
Advanced Solutions,0.0,0.0013857687276515938,0.0013857687276515938
Premier Corp,0.0,2.5022077851979697e-05,2.5022077851979697e-05
Global Group,0.0,0.001986814383140154,0.001986814383140154
Advanced Manufacturing,0.0,6.449742837797162e-05,6.449742837797162e-05
Elite Industries,0.0,1.5696891029322127e-05,1.5696891029322127e-05
Global Partners,0.0,5.1355141518680535e-05,5.1355141518680535e-05
Innovative Manufacturing,0.0,0.00014824105705241243,0.00014824105705241243
Prime Partners,0.0,0.0003080334944850381,0.0003080334944850381
Alpha Systems,0.0,0.00026097909735539425,0.00026097909735539425
Global Technologies,0.0,6.018621660797697e-06,6.018621660797697e-06
Elite Partners,0.0,0.0036180869918551353,0.0036180869918551353
Advanced Solutions,0.0,1.920842139137078e-06,1.920842139137078e-06
Elite Manufacturing,0.0,0.00037172201368611485,0.00037172201368611485
Advanced Manufacturing,0.0,0.001007256760983928,0.001007256760983928
Global Technologies,0.0,7.920377581197195e-05,7.920377581197195e-05
Prime Enterprises,0.0,0.0008119405552555603,0.0008119405552555603
Dynamic Solutions,0.0,0.0018255802520185007,0.0018255802520185007
Alpha Systems,0.0,2.000024135432908e-06,2.000024135432908e-06
Prime Solutions,0.0,0.00016357078810292836,0.00016357078810292836
Advanced Systems,0.0,0.0002535908144684611,0.0002535908144684611
Advanced Group,0.0,6.742119826317719e-06,6.742119826317719e-06
Prime Industries,0.0,5.4055575638481065e-05,5.4055575638481065e-05
Advanced Group,0.0,0.0005461867009862341,0.0005461867009862341
Prime Enterprises,0.0,0.00016733564098669334,0.00016733564098669334
Elite Group,0.0,4.570268920005881e-06,4.570268920005881e-06
Prime Group,0.0,0.0010584284919771506,0.0010584284919771506
Alpha Corp,0.0,0.003075399674613529,0.003075399674613529
